dist,payoff,exact,q_mean,abs_err,pct_err,N,M,tau,noise_std,length_scale,shots,time_s
weibull,stop_loss,0.9256128274064236,1.0383544477809732,0.1127416203745496,12.180213695876791,32,8,7,0.001,3.0,65536,2.046453399998427
pareto,ordinary_deductible,0.486,0.5104883424496489,0.024488342449648925,5.038753590462742,32,8,8,0.001,3.0,32768,4.9036042999978235
pareto,franchise_deductible,1.485,1.3402325856802249,0.14476741431977524,9.748647428941092,32,8,8,0.001,3.0,32768,4.814073300000018
pareto,policy_limit,1.4750000000538668,1.3384657597988654,0.13653424025500138,9.256558661017976,32,8,8,0.001,3.0,32768,4.905446499997197
pareto,deductible_with_limit,0.4811111111370867,0.5051291512591022,0.02401804012201547,4.9922023345604725,32,8,8,0.001,3.0,32768,4.819968100000551
pareto,stop_loss,0.486,0.5104883424496489,0.024488342449648925,5.038753590462742,32,8,8,0.001,3.0,32768,4.846737400002894
lognormal,ordinary_deductible,0.8579739047504147,0.8996193031344253,0.0416453983840106,4.853923662879383,32,8,8,0.001,3.0,32768,4.829716500000359
lognormal,franchise_deductible,1.3569725786927767,1.5109848821871497,0.154012303494373,11.349699022123124,32,8,8,0.001,3.0,32768,4.8929309000013745
lognormal,policy_limit,1.4655262805158773,1.7224940963002096,0.25696781578433225,17.534166340154435,32,8,8,0.001,3.0,32768,4.885037399999419
lognormal,deductible_with_limit,0.7484181837430338,0.8048973183624465,0.056479134619412674,7.546467449113255,32,8,8,0.001,3.0,32768,4.814513699999225
lognormal,stop_loss,0.8579739047504147,0.8996193031344253,0.0416453983840106,4.853923662879383,32,8,8,0.001,3.0,32768,4.838670499997534
gamma,ordinary_deductible,1.0943071914960318,1.1451738749854459,0.05086668348941403,4.648300210827819,32,8,8,0.001,3.0,32768,4.821163600001455
gamma,franchise_deductible,1.829066071877044,2.011851400588899,0.18278532871185504,9.993369376988941,32,8,8,0.001,3.0,32768,4.77510859999893
gamma,policy_limit,1.9478343710072936,2.1828056262256963,0.23497125521840267,12.06320510182243,32,8,8,0.001,3.0,32768,4.786672800000815
gamma,deductible_with_limit,1.0788083093197212,1.1338296408174866,0.05502133149776545,5.100195375067234,32,8,8,0.001,3.0,32768,5.020977300002414
gamma,stop_loss,1.0943071914960318,1.1451738749854459,0.05086668348941403,4.648300210827819,32,8,8,0.001,3.0,32768,4.795762100002321
weibull,ordinary_deductible,0.9256128274064236,0.96624158405387,0.04062875664744636,4.3893899743468925,32,8,8,0.001,3.0,32768,4.841283400000975
weibull,franchise_deductible,1.6268013317246828,1.7861570480940694,0.1593557163693866,9.795647032108265,32,8,8,0.001,3.0,32768,4.8077755000012985
weibull,policy_limit,1.7853605191923019,1.9839745831141977,0.19861406392189584,11.124591464123391,32,8,8,0.001,3.0,32768,4.787814700001036
weibull,deductible_with_limit,0.9234985804117545,0.9640194372379807,0.04052085682622619,4.38775518292182,32,8,8,0.001,3.0,32768,4.756429000000935
weibull,stop_loss,0.9256128274064236,0.96624158405387,0.04062875664744636,4.3893899743468925,32,8,8,0.001,3.0,32768,4.781846800000494
pareto,ordinary_deductible,0.486,0.5003927002515904,0.014392700251590451,2.9614609571173767,32,8,8,0.001,3.0,65536,4.877019199997449
pareto,franchise_deductible,1.485,1.346700889665168,0.1382991103348321,9.313071403018997,32,8,8,0.001,3.0,65536,4.911632299998018
pareto,policy_limit,1.4750000000538668,1.3566286563305827,0.11837134372328406,8.0251758453533,32,8,8,0.001,3.0,65536,4.87546569999904
pareto,deductible_with_limit,0.4811111111370867,0.4961324982610035,0.015021387123916763,3.1222282703914943,32,8,8,0.001,3.0,65536,4.902243600001384
pareto,stop_loss,0.486,0.5003927002515904,0.014392700251590451,2.9614609571173767,32,8,8,0.001,3.0,65536,4.854896299999382
lognormal,ordinary_deductible,0.8579739047504147,0.88627183572887,0.028297930978455343,3.2982274661007596,32,8,8,0.001,3.0,65536,4.857286499998736
lognormal,franchise_deductible,1.3569725786927767,1.439091246663729,0.08211866797095224,6.051608504135012,32,8,8,0.001,3.0,65536,4.865412700000888
lognormal,policy_limit,1.4655262805158773,1.6082703498612037,0.14274406934532635,9.740123479401493,32,8,8,0.001,3.0,65536,4.987932599997293
lognormal,deductible_with_limit,0.7484181837430338,0.7847915017807257,0.03637331803769184,4.860025962461177,32,8,8,0.001,3.0,65536,4.866867000000639
lognormal,stop_loss,0.8579739047504147,0.88627183572887,0.028297930978455343,3.2982274661007596,32,8,8,0.001,3.0,65536,4.8755051999978605
gamma,ordinary_deductible,1.0943071914960318,1.1264294229186724,0.03212223142264059,2.935394345597433,32,8,8,0.001,3.0,65536,4.876447200000257
