dist,payoff,exact,analytical_mean,analytical_err,N,M,noise_std,length_scale,F_sq,cond_XtX,n_eff_eigvals,min_phase_gap
pareto,franchise_deductible,1.485,3.1136380603752647,1.6286380603752646,8,2,0.01,0.5,1.2936266763793238,4.308604660489701,2,0.623253165773413
pareto,policy_limit,1.4750000000538668,4.008061638780023,2.5330616387261564,8,2,0.01,0.5,1.2936266763793238,4.308604660489701,2,0.623253165773413
pareto,deductible_with_limit,0.4811111111370867,0.6953054151418876,0.21419430400480088,8,2,0.01,0.5,1.2936266763793238,4.308604660489701,2,0.623253165773413
pareto,stop_loss,0.486,0.6989719373026329,0.21297193730263286,8,2,0.01,0.5,1.2936266763793238,4.308604660489701,2,0.623253165773413
lognormal,ordinary_deductible,0.8579739047504147,0.8135705140482142,0.04440339070220045,8,2,0.01,0.5,0.5895087560320703,4.83645970116032,2,0.6573265125770698
lognormal,franchise_deductible,1.3569725786927767,1.2915736368178987,0.06539894187487794,8,2,0.01,0.5,0.5895087560320703,4.83645970116032,2,0.6573265125770698
lognormal,policy_limit,1.4655262805158773,1.9519238728950246,0.48639759237914726,8,2,0.01,0.5,0.5895087560320703,4.83645970116032,2,0.6573265125770698
lognormal,deductible_with_limit,0.7484181837430338,0.6783528333579214,0.07006535038511241,8,2,0.01,0.5,0.5895087560320703,4.83645970116032,2,0.6573265125770698
lognormal,stop_loss,0.8579739047504147,0.8135705140482142,0.04440339070220045,8,2,0.01,0.5,0.5895087560320703,4.83645970116032,2,0.6573265125770698
gamma,ordinary_deductible,1.0943071914960318,1.4955632262896361,0.4012560347936043,8,2,0.01,0.5,1.8228285679478557,6.164122300536739,2,0.7208311198358299
gamma,franchise_deductible,1.829066071877044,2.1744284304812975,0.34536235860425357,8,2,0.01,0.5,1.8228285679478557,6.164122300536739,2,0.7208311198358299
gamma,policy_limit,1.9478343710072936,2.115813302197444,0.1679789311901505,8,2,0.01,0.5,1.8228285679478557,6.164122300536739,2,0.7208311198358299
gamma,deductible_with_limit,1.0788083093197212,1.487126596925394,0.4083182876056728,8,2,0.01,0.5,1.8228285679478557,6.164122300536739,2,0.7208311198358299
gamma,stop_loss,1.0943071914960318,1.4955632262896361,0.4012560347936043,8,2,0.01,0.5,1.8228285679478557,6.164122300536739,2,0.7208311198358299
weibull,ordinary_deductible,0.9256128274064236,1.4051291683577425,0.4795163409513189,8,2,0.01,0.5,2.276349206733901,5.5530686190458205,2,0.6947994723895908
weibull,franchise_deductible,1.6268013317246828,2.1779408447769275,0.5511395130522447,8,2,0.01,0.5,2.276349206733901,5.5530686190458205,2,0.6947994723895908
